player,player_id,position,team_name,grades_offense,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Alejandro Villanueva,9091,T,PIT,74.9,1186,42.0,2020,1388,Alejandro Villanueva,2020,31,4,"$24,000,000",6000000
Mekhi Becton,59818,T,NYJ,74.4,691,44.0,2020,552,Mekhi Becton,2020,21,4,"$18,446,048",4611512
Joe Thuney,10712,G,NE,74.2,980,45.0,2020,484,Joe Thuney,2020,27,1,"$14,781,000",14781000
Rodney Hudson,6207,C,LV,73.6,1082,46.0,2020,965,Rodney Hudson,2020,31,3,"$33,750,000",11250000
Austin Corbett,46290,G,LA,73.4,1242,47.0,2020,1051,Austin Corbett,2020,24,4,"$7,568,000",1892000
Anthony Castonzo,6174,T,IND,73.4,749,47.0,2020,348,Anthony Castonzo,2020,31,2,"$33,000,000",16500000
Russell Okung,5531,T,CAR,73.0,406,49.0,2020,1676,Russell Okung,2020,31,4,"$53,000,000",13250000
Kolton Miller,47013,T,LV,73.0,961,49.0,2020,1256,Kolton Miller,2020,24,4,"$13,471,324",3367831
Rodger Saffold,5558,G,TEN,72.8,922,51.0,2020,964,Rodger Saffold,2020,31,4,"$44,000,000",11000000
Donovan Smith,9467,T,TB,72.6,1236,52.0,2020,764,Donovan Smith,2020,26,3,"$41,250,000",13750000
Riley Reiff,7029,T,MIN,71.4,1003,53.0,2020,1667,Riley Reiff,2020,31,5,"$58,750,000",11750000
Brandon Shell,10792,T,SEA,71.4,734,53.0,2020,373,Brandon Shell,2020,28,2,"$9,000,000",4500000
Mike Remmers,7431,T,KC,71.3,914,55.0,2020,559,Mike Remmers,2020,30,1,"$1,187,500",1187500
Damien Lewis,81532,G,SEA,71.2,1028,56.0,2020,412,Damien Lewis,2020,23,4,"$4,902,141",1225535
Nate Herbig,28844,G,PHI,71.2,894,56.0,2020,931,Nate Herbig,2020,21,3,"$1,767,500",589167
Connor Williams,46216,G,DAL,71.2,1146,56.0,2020,1119,Connor Williams,2020,22,4,"$5,488,989",1372247
Ben Garland,5839,C,SF,71.1,333,59.0,2020,362,Ben Garland,2020,31,1,"$2,000,000",2000000
Nate Davis,46808,G,TEN,71.1,1124,59.0,2020,930,Nate Davis,2020,23,4,"$3,700,180",925045
David Edwards,35941,G,LA,70.5,1031,61.0,2020,744,David Edwards,2020,22,4,"$2,784,520",696130
Billy Turner,8702,T,GB,70.5,1030,61.0,2020,674,Billy Turner,2020,28,4,"$28,000,000",7000000
Austin Blythe,10882,C,LA,70.3,1242,63.0,2020,354,Austin Blythe,2020,27,1,"$3,900,000",3900000
Jordan Mailata,66916,T,PHI,70.3,732,63.0,2020,1232,Jordan Mailata,2020,23,4,"$2,549,393",637348
Jonah Williams,41651,T,CIN,70.1,634,65.0,2020,845,Jonah Williams,2020,22,4,"$17,630,166",4407542
Jason Kelce,6343,C,PHI,69.6,1126,66.0,2020,820,Jason Kelce,2020,32,3,"$24,500,000",8166667
Erik McCoy,37347,C,NO,69.4,1213,67.0,2020,774,Erik McCoy,2020,22,4,"$6,077,748",1519437
Wes Schweitzer,10829,G,WAS,69.0,1062,69.0,2020,634,Wes Schweitzer,2020,26,3,"$13,500,000",4500000
Kelvin Beachum,7229,T,ARZ,69.0,1126,69.0,2020,521,Kelvin Beachum,2020,31,1,"$1,187,500",1187500
A.J. Cann,9500,G,JAX,69.0,919,69.0,2020,645,A.J. Cann,2020,28,3,"$15,055,000",5018333
Graham Glasgow,10729,G,DEN,68.5,764,72.0,2020,451,Graham Glasgow,2020,27,4,"$44,000,000",11000000
Ryan Kelly,10652,C,IND,68.0,1085,73.0,2020,589,Ryan Kelly,2020,27,4,"$50,000,000",12500000
